"No.","Time","Delta"," TCP stream time","Source","Destination","Protocol","Length","Bytes in flight","TCP Segment Len","Info"
"1","0.000000","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","62","","0","tip2(3372)  >  http(80) [SYN] Seq=0 Win=8760 Len=0 MSS=1460 SACK_PERM"
"2","0.911310","0.911310","0.911310000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","62","","0","http(80)  >  tip2(3372) [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380 SACK_PERM"
"3","0.911310","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=1 Ack=1 Win=9660 Len=0"
"4","0.911310","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","HTTP","533","479","479","GET /download.html HTTP/1.1 "
"5","1.472116","0.560806","0.560806000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","54","","0","http(80)  >  tip2(3372) [ACK] Seq=1 Ack=480 Win=6432 Len=0"
"6","1.682419","0.210303","0.210303000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=1 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"7","1.812606","0.130187","0.130187000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=1381 Win=9660 Len=0"
"8","1.812606","0.000000","0.000000000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=1381 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"9","2.012894","0.200288","0.200288000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=2761 Win=9660 Len=0"
"10","2.443513","0.430619","0.430619000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=2761 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"11","2.553672","0.110159","0.110159000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","2760","1380","http(80)  >  tip2(3372) [PSH, ACK] Seq=4141 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"12","2.553672","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=5521 Win=9660 Len=0"
"13","2.553672","0.000000","","dialin-145-254-160-237.pools.arcor-ip.net","145.253.2.203","DNS","89","","","Standard query 0x0023 A pagead2.googlesyndication.com"
"14","2.633787","0.080115","0.080115000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=5521 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"15","2.814046","0.180259","0.180259000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=6901 Win=9660 Len=0"
"16","2.894161","0.080115","0.080115000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=6901 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"17","2.914190","0.020029","","145.253.2.203","dialin-145-254-160-237.pools.arcor-ip.net","DNS","188","","","Standard query response 0x0023 A pagead2.googlesyndication.com CNAME pagead2.google.com CNAME pagead.google.akadns.net A 216.239.59.104 A 216.239.59.99"
"18","2.984291","0.070101","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","pagead.google.akadns.net","HTTP","775","721","721","GET /pagead/ads?client=ca-pub-2309191948673629&random=1084443430285&lmt=1082467020&format=468x60_as&output=html&url=http%3A%2F%2Fwww.ethereal.com%2Fdownload.html&color_bg=FFFFFF&color_text=333333&color_link=000000&color_url=666633&color_border=666633 HTTP/1.1 "
"19","3.014334","0.030043","0.120173000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=8281 Win=9660 Len=0"
"20","3.374852","0.360518","0.360518000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=8281 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"21","3.495025","0.120173","0.120173000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","2760","1380","http(80)  >  tip2(3372) [PSH, ACK] Seq=9661 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"22","3.495025","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=11041 Win=9660 Len=0"
"23","3.635227","0.140202","0.140202000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=11041 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"24","3.645241","0.010014","0.660950000","pagead.google.akadns.net","dialin-145-254-160-237.pools.arcor-ip.net","TCP","54","","0","http(80)  >  3371 [ACK] Seq=1 Ack=722 Win=31460 Len=0"
"25","3.815486","0.170245","0.180259000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=12421 Win=9660 Len=0"
"26","3.915630","0.100144","0.270389000","pagead.google.akadns.net","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1484","1430","1430","http(80)  >  3371 [PSH, ACK] Seq=1 Ack=722 Win=31460 Len=1430 [TCP PDU reassembled in 27]"
"27","3.955688","0.040058","0.040058000","pagead.google.akadns.net","dialin-145-254-160-237.pools.arcor-ip.net","HTTP","214","1590","160","HTTP/1.1 200 OK  (text/html)"
"28","3.955688","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","pagead.google.akadns.net","TCP","54","","0","3371  >  http(80) [ACK] Seq=722 Ack=1591 Win=8760 Len=0"
"29","4.105904","0.150216","0.290418000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [PSH, ACK] Seq=12421 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"30","4.216062","0.110158","0.110158000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=13801 Win=9660 Len=0"
"31","4.226076","0.010014","0.010014000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=13801 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"32","4.356264","0.130188","0.130188000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","2760","1380","http(80)  >  tip2(3372) [ACK] Seq=15181 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"33","4.356264","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=16561 Win=9660 Len=0"
"34","4.496465","0.140201","0.140201000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1434","1380","1380","http(80)  >  tip2(3372) [ACK] Seq=16561 Ack=480 Win=6432 Len=1380 [TCP PDU reassembled in 38]"
"35","4.496465","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=17941 Win=9660 Len=0"
"36","4.776868","0.280403","0.821180000","pagead.google.akadns.net","dialin-145-254-160-237.pools.arcor-ip.net","TCP","1484","1430","1430","[TCP Spurious Retransmission] http(80)  >  3371 [PSH, ACK] Seq=1 Ack=722 Win=31460 Len=1430"
"37","4.776868","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","pagead.google.akadns.net","TCP","54","","0","[TCP Dup ACK 28#1] 3371  >  http(80) [ACK] Seq=722 Ack=1591 Win=8760 Len=0"
"38","4.846969","0.070101","0.350504000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","HTTP/XML","478","424","424","HTTP/1.1 200 OK "
"39","5.017214","0.170245","0.170245000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=18365 Win=9236 Len=0"
"40","17.905747","12.888533","12.888533000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","54","","0","http(80)  >  tip2(3372) [FIN, ACK] Seq=18365 Ack=480 Win=6432 Len=0"
"41","17.905747","0.000000","0.000000000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [ACK] Seq=480 Ack=18366 Win=9236 Len=0"
"42","30.063228","12.157481","12.157481000","dialin-145-254-160-237.pools.arcor-ip.net","65.208.228.223","TCP","54","","0","tip2(3372)  >  http(80) [FIN, ACK] Seq=480 Ack=18366 Win=9236 Len=0"
"43","30.393704","0.330476","0.330476000","65.208.228.223","dialin-145-254-160-237.pools.arcor-ip.net","TCP","54","","0","http(80)  >  tip2(3372) [ACK] Seq=18366 Ack=481 Win=6432 Len=0"
